id	lifestyle	species	Kingdom name	Phylum name	Class name	Order name	Family name	Genus name
Aspergillus_eucalypticola	Saprotrophic	Aspergillus eucalypticola	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_fijiensis	Saprotrophic	Aspergillus fijiensis	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_fischeri	Saprotrophic	Aspergillus fischeri	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_flavus	Animal pathogen	Aspergillus flavus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_fumigatus	Animal pathogen	Aspergillus *	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_glaucus	Saprotrophic	Aspergillus glaucus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_hancockii	Saprotrophic	Aspergillus hancockii	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_heteromorphus	Saprotrophic	Aspergillus heteromorphus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_homomorphus	Saprotrophic	Aspergillus homomorphus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_ibericus	Unknown	Aspergillus ibericus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_indologenus	Saprotrophic	Aspergillus indologenus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_japonicus	Unknown	Aspergillus japonicus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_kawachii	Saprotrophic	Aspergillus *	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_lacticoffeatus	Saprotrophic	Aspergillus *	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_lentulus	Animal pathogen	Aspergillus lentulus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_luchuensis	Unknown	Aspergillus *	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_mulundensis	Unknown	Aspergillus mulundensis	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_neoellipticus	Unknown	Aspergillus *	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_neoniger	Saprotrophic	Aspergillus neoniger	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_nidulans	Animal pathogen	Aspergillus nidulans	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_niger	Animal pathogen	Aspergillus *	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_nomius	Animal pathogen	Aspergillus *	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_novofumigatus	Saprotrophic	Aspergillus novofumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_ochraceoroseus	Animal pathogen	Aspergillus ochraceoroseus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_oryzae	Saprotrophic	Aspergillus oryzae	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_parasiticus	Animal pathogen	Aspergillus parasiticus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_persii	Animal pathogen	Aspergillus persii	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_phoenicis	Unknown	Aspergillus phoenicis	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_piperis	Unknown	Aspergillus piperis	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_pseudoterreus	Unknown	Aspergillus pseudoterreus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_rambellii	Unknown	Aspergillus rambellii	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_ruber	Unknown	Aspergillus ruber	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_saccharolyticus	Unknown	Aspergillus saccharolyticus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_sclerotiicarbonarius	Unknown	Aspergillus sclerotiicarbonarius	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_sclerotioniger	Unknown	Aspergillus sclerotioniger	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_sclerotiorum	Unknown	Aspergillus sclerotiorum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_sojae	Unknown	Aspergillus sojae	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_sp._MA_6037	Unknown	Aspergillus sp. MA 6037	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_sp._Z5	Unknown	Aspergillus sp. Z5	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_steynii	Saprotrophic	Aspergillus steynii	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_sydowii	Animal pathogen	Aspergillus sydowii	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_taichungensis	Unknown	Aspergillus taichungensis	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_tanneri	Animal pathogen	Aspergillus tanneri	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_terreus	Animal pathogen	Aspergillus terreus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_tubingensis	Animal pathogen	Aspergillus tubingensis	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_turcosus	Unknown	Aspergillus turcosus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_udagawae	Animal pathogen	Aspergillus udagawae	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_ustus	Animal pathogen	Aspergillus ustus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_uvarum	Unknown	Aspergillus uvarum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_vadensis	Unknown	Aspergillus vadensis	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_versicolor	Animal pathogen	Aspergillus versicolor	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_violaceofuscus	Unknown	Aspergillus violaceofuscus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_welwitschiae	Plant pathogen	Aspergillus welwitschiae	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_wentii	Saprotrophic	Aspergillus wentii	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Aspergillus_westerdijkiae	Saprotrophic	Aspergillus westerdijkiae	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
Atkinsonella_hypoxylon	Plant pathogen	Atkinsonella hypoxylon	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Atkinsonella
Atkinsonella_texensis	Plant pathogen	Atkinsonella texensis	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Atkinsonella
Aureobasidium_melanogenum	Animal pathogen	Aureobasidium melanogenum	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium
Aureobasidium_namibiae	Unknown	Aureobasidium namibiae	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium
Aureobasidium_pullulans	Unknown	Aureobasidium pullulans	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium
